measured matmul throughput: 6.39TFLOP/s
model: 11.02M params (10.62M non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step     0 | loss 6.9632 | lr 1.00e-05 | gnorm  6.149 |    24.8k tok/s | mfu 27.0%
step     9 | loss 6.2450 | lr 1.00e-04 | gnorm  1.492 |    29.8k tok/s | mfu 32.4%
step    19 | loss 5.8813 | lr 2.00e-04 | gnorm  1.292 |    29.7k tok/s | mfu 32.4%
step    29 | loss 5.4874 | lr 3.00e-04 | gnorm  1.090 |    29.7k tok/s | mfu 32.4%
step    39 | loss 5.0501 | lr 4.00e-04 | gnorm  1.179 |    29.9k tok/s | mfu 32.6%
step    49 | loss 4.5641 | lr 5.00e-04 | gnorm  0.840 |    29.8k tok/s | mfu 32.5%
step    59 | loss 4.3969 | lr 6.00e-04 | gnorm  0.800 |    29.7k tok/s | mfu 32.4%
step    69 | loss 4.1802 | lr 7.00e-04 | gnorm  0.708 |    29.7k tok/s | mfu 32.3%
step    79 | loss 3.9095 | lr 8.00e-04 | gnorm  0.842 |    29.8k tok/s | mfu 32.4%
step    89 | loss 3.8359 | lr 9.00e-04 | gnorm  0.715 |    29.8k tok/s | mfu 32.4%
step    99 | loss 3.6771 | lr 1.00e-03 | gnorm  0.786 |    29.7k tok/s | mfu 32.4%
step   109 | loss 3.7102 | lr 1.00e-03 | gnorm  0.721 |    29.7k tok/s | mfu 32.4%
step   119 | loss 3.7785 | lr 1.00e-03 | gnorm  0.725 |    29.8k tok/s | mfu 32.4%
step   129 | loss 3.5170 | lr 9.99e-04 | gnorm  0.741 |    29.7k tok/s | mfu 32.3%
step   139 | loss 3.4594 | lr 9.99e-04 | gnorm  0.845 |    29.8k tok/s | mfu 32.4%
step   149 | loss 3.3715 | lr 9.99e-04 | gnorm  0.745 |    29.7k tok/s | mfu 32.4%
step   159 | loss 3.3346 | lr 9.98e-04 | gnorm  0.788 |    29.7k tok/s | mfu 32.4%
step   169 | loss 3.3100 | lr 9.97e-04 | gnorm  0.796 |    29.7k tok/s | mfu 32.4%
step   179 | loss 3.2501 | lr 9.96e-04 | gnorm  0.778 |    29.7k tok/s | mfu 32.3%
step   189 | loss 3.1846 | lr 9.95e-04 | gnorm  0.831 |    29.8k tok/s | mfu 32.4%
step   199 | loss 3.0625 | lr 9.94e-04 | gnorm  0.787 |    29.7k tok/s | mfu 32.4%
step   209 | loss 3.0619 | lr 9.93e-04 | gnorm  0.871 |    29.7k tok/s | mfu 32.4%
step   219 | loss 3.0360 | lr 9.91e-04 | gnorm  0.831 |    29.7k tok/s | mfu 32.4%
step   229 | loss 2.9719 | lr 9.90e-04 | gnorm  0.782 |    29.7k tok/s | mfu 32.3%
step   239 | loss 2.7816 | lr 9.88e-04 | gnorm  0.777 |    29.7k tok/s | mfu 32.4%
step   249 | loss 2.8130 | lr 9.86e-04 | gnorm  0.783 |    29.7k tok/s | mfu 32.3%
  eval @ 250: val_loss 3.3599 ppl 28.79
step   259 | loss 2.7638 | lr 9.85e-04 | gnorm  0.811 |    29.7k tok/s | mfu 32.4%
step   269 | loss 2.7722 | lr 9.83e-04 | gnorm  0.820 |    29.7k tok/s | mfu 32.3%
step   279 | loss 2.8258 | lr 9.80e-04 | gnorm  0.856 |    29.6k tok/s | mfu 32.3%
step   289 | loss 2.7290 | lr 9.78e-04 | gnorm  0.813 |    29.7k tok/s | mfu 32.4%
step   299 | loss 2.7014 | lr 9.76e-04 | gnorm  0.821 |    29.7k tok/s | mfu 32.3%
step   309 | loss 2.7170 | lr 9.73e-04 | gnorm  0.869 |    29.7k tok/s | mfu 32.3%
step   319 | loss 2.5093 | lr 9.71e-04 | gnorm  0.885 |    29.7k tok/s | mfu 32.3%
step   329 | loss 2.5561 | lr 9.68e-04 | gnorm  0.903 |    29.7k tok/s | mfu 32.3%
step   339 | loss 2.4738 | lr 9.65e-04 | gnorm  0.854 |    29.6k tok/s | mfu 32.3%
step   349 | loss 2.5482 | lr 9.62e-04 | gnorm  0.984 |    29.6k tok/s | mfu 32.3%
step   359 | loss 2.4386 | lr 9.59e-04 | gnorm  0.902 |    29.6k tok/s | mfu 32.3%
step   369 | loss 2.4563 | lr 9.56e-04 | gnorm  0.942 |    29.6k tok/s | mfu 32.3%
step   379 | loss 2.3969 | lr 9.53e-04 | gnorm  0.984 |    29.6k tok/s | mfu 32.2%
step   389 | loss 2.3604 | lr 9.50e-04 | gnorm  0.976 |    29.6k tok/s | mfu 32.2%
step   399 | loss 2.3987 | lr 9.46e-04 | gnorm  1.011 |    29.6k tok/s | mfu 32.3%
step   409 | loss 2.2997 | lr 9.43e-04 | gnorm  1.029 |    29.7k tok/s | mfu 32.3%
step   419 | loss 2.2968 | lr 9.39e-04 | gnorm  1.036 |    29.7k tok/s | mfu 32.3%
step   429 | loss 2.1676 | lr 9.35e-04 | gnorm  1.060 |    29.6k tok/s | mfu 32.3%
step   439 | loss 2.0858 | lr 9.31e-04 | gnorm  1.090 |    29.8k tok/s | mfu 32.5%
step   449 | loss 2.1290 | lr 9.27e-04 | gnorm  1.109 |    29.7k tok/s | mfu 32.4%
step   459 | loss 2.2219 | lr 9.23e-04 | gnorm  1.188 |    29.6k tok/s | mfu 32.2%
step   469 | loss 2.1006 | lr 9.19e-04 | gnorm  1.081 |    29.6k tok/s | mfu 32.3%
step   479 | loss 1.9280 | lr 9.14e-04 | gnorm  1.087 |    29.7k tok/s | mfu 32.3%
step   489 | loss 1.9435 | lr 9.10e-04 | gnorm  1.106 |    29.7k tok/s | mfu 32.3%
step   499 | loss 2.0072 | lr 9.06e-04 | gnorm  1.183 |    29.6k tok/s | mfu 32.3%
  eval @ 500: val_loss 3.5914 ppl 36.28
step   509 | loss 1.8376 | lr 9.01e-04 | gnorm  1.164 |    29.8k tok/s | mfu 32.4%
step   519 | loss 1.8471 | lr 8.96e-04 | gnorm  1.175 |    29.7k tok/s | mfu 32.3%
step   529 | loss 1.9241 | lr 8.91e-04 | gnorm  1.316 |    29.6k tok/s | mfu 32.3%
step   539 | loss 1.6726 | lr 8.87e-04 | gnorm  1.193 |    29.7k tok/s | mfu 32.4%
step   549 | loss 1.8157 | lr 8.82e-04 | gnorm  1.225 |    29.6k tok/s | mfu 32.3%
step   559 | loss 1.8676 | lr 8.77e-04 | gnorm  1.284 |    29.7k tok/s | mfu 32.4%
step   569 | loss 1.7489 | lr 8.71e-04 | gnorm  1.267 |    29.7k tok/s | mfu 32.3%
step   579 | loss 1.5858 | lr 8.66e-04 | gnorm  1.282 |    29.7k tok/s | mfu 32.3%
step   589 | loss 1.6677 | lr 8.61e-04 | gnorm  1.347 |    29.7k tok/s | mfu 32.3%
step   599 | loss 1.6452 | lr 8.55e-04 | gnorm  1.345 |    29.7k tok/s | mfu 32.3%
step   609 | loss 1.5750 | lr 8.50e-04 | gnorm  1.341 |    29.6k tok/s | mfu 32.3%
step   619 | loss 1.5658 | lr 8.44e-04 | gnorm  1.373 |    29.7k tok/s | mfu 32.3%
step   629 | loss 1.4928 | lr 8.39e-04 | gnorm  1.383 |    29.7k tok/s | mfu 32.3%
step   639 | loss 1.3419 | lr 8.33e-04 | gnorm  1.347 |    29.7k tok/s | mfu 32.3%
step   649 | loss 1.2802 | lr 8.27e-04 | gnorm  1.329 |    29.6k tok/s | mfu 32.3%
step   659 | loss 1.2693 | lr 8.21e-04 | gnorm  1.377 |    29.6k tok/s | mfu 32.3%
step   669 | loss 1.3538 | lr 8.15e-04 | gnorm  1.405 |    29.7k tok/s | mfu 32.3%
step   679 | loss 1.2474 | lr 8.09e-04 | gnorm  1.388 |    29.7k tok/s | mfu 32.3%
step   689 | loss 1.1641 | lr 8.03e-04 | gnorm  1.378 |    29.6k tok/s | mfu 32.3%
step   699 | loss 1.1204 | lr 7.97e-04 | gnorm  1.392 |    29.6k tok/s | mfu 32.3%
step   709 | loss 1.0752 | lr 7.90e-04 | gnorm  1.479 |    29.7k tok/s | mfu 32.3%
step   719 | loss 1.0772 | lr 7.84e-04 | gnorm  1.373 |    29.7k tok/s | mfu 32.3%
step   729 | loss 0.9637 | lr 7.78e-04 | gnorm  1.313 |    29.6k tok/s | mfu 32.3%
step   739 | loss 1.1948 | lr 7.71e-04 | gnorm  1.520 |    29.6k tok/s | mfu 32.2%
step   749 | loss 0.9785 | lr 7.65e-04 | gnorm  1.405 |    29.7k tok/s | mfu 32.3%
  eval @ 750: val_loss 4.2508 ppl 70.16
step   759 | loss 0.9697 | lr 7.58e-04 | gnorm  1.422 |    29.7k tok/s | mfu 32.3%
step   769 | loss 0.9095 | lr 7.52e-04 | gnorm  1.465 |    29.7k tok/s | mfu 32.4%
step   779 | loss 0.9519 | lr 7.45e-04 | gnorm  1.387 |    29.7k tok/s | mfu 32.3%
step   789 | loss 0.7458 | lr 7.38e-04 | gnorm  1.271 |    29.7k tok/s | mfu 32.4%
step   799 | loss 0.8240 | lr 7.31e-04 | gnorm  1.369 |    29.7k tok/s | mfu 32.4%
step   809 | loss 0.7824 | lr 7.25e-04 | gnorm  1.353 |    29.7k tok/s | mfu 32.3%
step   819 | loss 0.8005 | lr 7.18e-04 | gnorm  1.348 |    29.7k tok/s | mfu 32.3%
step   829 | loss 0.8150 | lr 7.11e-04 | gnorm  1.411 |    29.7k tok/s | mfu 32.3%
step   839 | loss 0.8408 | lr 7.04e-04 | gnorm  1.461 |    29.7k tok/s | mfu 32.3%
step   849 | loss 0.6760 | lr 6.97e-04 | gnorm  1.283 |    29.7k tok/s | mfu 32.4%
