measured matmul throughput: 6.35TFLOP/s
model: 984.32K params (853.12K non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step     0 | loss 6.9236 | lr 1.00e-05 | gnorm  1.283 |    21.8k tok/s | mfu  2.3%
step     9 | loss 6.7528 | lr 1.00e-04 | gnorm  1.515 |   122.1k tok/s | mfu 12.9%
step    19 | loss 6.5508 | lr 2.00e-04 | gnorm  1.071 |   121.9k tok/s | mfu 12.8%
step    29 | loss 6.3128 | lr 3.00e-04 | gnorm  1.025 |   121.9k tok/s | mfu 12.8%
step    39 | loss 6.0323 | lr 4.00e-04 | gnorm  0.929 |   122.3k tok/s | mfu 12.9%
step    49 | loss 5.8115 | lr 5.00e-04 | gnorm  0.790 |   122.0k tok/s | mfu 12.8%
step    59 | loss 5.7140 | lr 6.00e-04 | gnorm  0.563 |   111.9k tok/s | mfu 11.8%
step    69 | loss 5.5335 | lr 7.00e-04 | gnorm  0.548 |   108.5k tok/s | mfu 11.4%
step    79 | loss 5.2801 | lr 8.00e-04 | gnorm  0.585 |   111.6k tok/s | mfu 11.7%
step    89 | loss 5.0850 | lr 9.00e-04 | gnorm  0.429 |   107.8k tok/s | mfu 11.3%
step    99 | loss 4.8457 | lr 1.00e-03 | gnorm  0.382 |   108.5k tok/s | mfu 11.4%
  eval @ 100: val_loss 4.7673 ppl 117.60
step   109 | loss 4.7746 | lr 1.00e-03 | gnorm  0.451 |   122.1k tok/s | mfu 12.8%
step   119 | loss 4.7511 | lr 1.00e-03 | gnorm  0.517 |   123.0k tok/s | mfu 13.0%
step   129 | loss 4.4752 | lr 9.99e-04 | gnorm  0.448 |   122.2k tok/s | mfu 12.9%
step   139 | loss 4.3792 | lr 9.98e-04 | gnorm  0.527 |   122.5k tok/s | mfu 12.9%
step   149 | loss 4.3227 | lr 9.97e-04 | gnorm  0.577 |   122.0k tok/s | mfu 12.8%
step   159 | loss 4.2465 | lr 9.96e-04 | gnorm  0.431 |   122.7k tok/s | mfu 12.9%
step   169 | loss 4.2393 | lr 9.95e-04 | gnorm  0.427 |   122.3k tok/s | mfu 12.9%
step   179 | loss 4.1603 | lr 9.93e-04 | gnorm  0.468 |   122.1k tok/s | mfu 12.9%
step   189 | loss 4.1304 | lr 9.91e-04 | gnorm  0.499 |   122.1k tok/s | mfu 12.9%
step   199 | loss 4.0398 | lr 9.89e-04 | gnorm  0.456 |   121.9k tok/s | mfu 12.8%
  eval @ 200: val_loss 3.9548 ppl 52.19
step   209 | loss 3.9878 | lr 9.87e-04 | gnorm  0.486 |   109.1k tok/s | mfu 11.5%
step   219 | loss 3.9993 | lr 9.84e-04 | gnorm  0.507 |   110.8k tok/s | mfu 11.7%
step   229 | loss 3.9225 | lr 9.81e-04 | gnorm  0.475 |   109.8k tok/s | mfu 11.6%
step   239 | loss 3.7932 | lr 9.78e-04 | gnorm  0.495 |   107.8k tok/s | mfu 11.3%
step   249 | loss 3.7874 | lr 9.75e-04 | gnorm  0.535 |   108.4k tok/s | mfu 11.4%
step   259 | loss 3.7706 | lr 9.72e-04 | gnorm  0.540 |   109.6k tok/s | mfu 11.5%
step   269 | loss 3.7186 | lr 9.68e-04 | gnorm  0.490 |   109.8k tok/s | mfu 11.6%
step   279 | loss 3.7642 | lr 9.64e-04 | gnorm  0.534 |   110.0k tok/s | mfu 11.6%
step   289 | loss 3.7352 | lr 9.60e-04 | gnorm  0.510 |   106.4k tok/s | mfu 11.2%
step   299 | loss 3.6332 | lr 9.56e-04 | gnorm  0.603 |   109.5k tok/s | mfu 11.5%
  eval @ 300: val_loss 3.6957 ppl 40.28
step   309 | loss 3.7245 | lr 9.51e-04 | gnorm  0.517 |   122.5k tok/s | mfu 12.9%
step   319 | loss 3.5854 | lr 9.47e-04 | gnorm  0.550 |   122.5k tok/s | mfu 12.9%
step   329 | loss 3.6296 | lr 9.42e-04 | gnorm  0.610 |   122.4k tok/s | mfu 12.9%
step   339 | loss 3.5322 | lr 9.37e-04 | gnorm  0.525 |   122.2k tok/s | mfu 12.9%
step   349 | loss 3.6507 | lr 9.32e-04 | gnorm  0.546 |   122.9k tok/s | mfu 12.9%
step   359 | loss 3.5386 | lr 9.26e-04 | gnorm  0.553 |   122.1k tok/s | mfu 12.9%
step   369 | loss 3.5463 | lr 9.20e-04 | gnorm  0.582 |   122.5k tok/s | mfu 12.9%
step   379 | loss 3.4958 | lr 9.15e-04 | gnorm  0.602 |   122.2k tok/s | mfu 12.9%
step   389 | loss 3.4864 | lr 9.09e-04 | gnorm  0.534 |   122.5k tok/s | mfu 12.9%
step   399 | loss 3.5063 | lr 9.02e-04 | gnorm  0.577 |   122.2k tok/s | mfu 12.9%
  eval @ 400: val_loss 3.5283 ppl 34.07
step   409 | loss 3.4223 | lr 8.96e-04 | gnorm  0.576 |   122.2k tok/s | mfu 12.9%
step   419 | loss 3.3928 | lr 8.90e-04 | gnorm  0.604 |   123.0k tok/s | mfu 12.9%
step   429 | loss 3.4753 | lr 8.83e-04 | gnorm  0.578 |   122.5k tok/s | mfu 12.9%
step   439 | loss 3.3972 | lr 8.76e-04 | gnorm  0.626 |   122.3k tok/s | mfu 12.9%
step   449 | loss 3.3777 | lr 8.69e-04 | gnorm  0.570 |   109.3k tok/s | mfu 11.5%
step   459 | loss 3.4568 | lr 8.62e-04 | gnorm  0.596 |   109.4k tok/s | mfu 11.5%
step   469 | loss 3.3595 | lr 8.54e-04 | gnorm  0.601 |   110.7k tok/s | mfu 11.7%
